,currency,event,impact,previous_value,forecast_value,actual_value
368,CAD,Foreign Securities Purchases,Low Impact Expected,6.93B,5.05B,11.78B
369,GBP,BOE Gov Bailey Speaks,Medium Impact Expected,,,
370,GBP,Rightmove HPI m/m,Low Impact Expected,-0.6%,,-0.9%
371,CNY,GDP q/y,High Impact Expected,4.9%,6.2%,6.5%
372,CNY,Fixed Asset Investment ytd/y,Low Impact Expected,2.6%,3.3%,2.9%
373,CNY,Industrial Production y/y,Low Impact Expected,7.0%,6.9%,7.3%
374,CNY,NBS Press Conference,Low Impact Expected,,,
375,CNY,Retail Sales y/y,Low Impact Expected,5.0%,5.5%,4.6%
376,CNY,Unemployment Rate,Low Impact Expected,5.2%,5.2%,5.2%
377,JPY,Revised Industrial Production m/m,Low Impact Expected,0.0%,0.0%,-0.5%
378,EUR,Eurogroup Meetings,Low Impact Expected,,,
379,EUR,German Buba Monthly Report,Low Impact Expected,,,
380,USD,Bank Holiday,Non-Economic,,,
381,CAD,Housing Starts,Low Impact Expected,261K,230K,228K
382,CAD,Foreign Securities Purchases,Low Impact Expected,6.93B,5.05B,11.78B
383,GBP,BOE Gov Bailey Speaks,Medium Impact Expected,,,
384,NZD,NZIER Business Confidence,Low Impact Expected,-40,,-6
385,EUR,German Final CPI m/m,Low Impact Expected,0.5%,0.5%,0.5%
386,CHF,PPI m/m,Low Impact Expected,-0.1%,0.1%,0.5%
387,EUR,Current Account,Low Impact Expected,25.6B,28.2B,24.6B
388,EUR,Italian Trade Balance,Low Impact Expected,7.58B,6.23B,6.77B
389,EUR,ECOFIN Meetings,Low Impact Expected,,,
390,EUR,ZEW Economic Sentiment,Low Impact Expected,54.4,54.1,58.3
391,EUR,German ZEW Economic Sentiment,Low Impact Expected,55.0,55.1,61.8
392,CAD,Manufacturing Sales m/m,Low Impact Expected,0.2%,-0.2%,-0.6%
393,CAD,Wholesale Sales m/m,Low Impact Expected,1.3%,0.9%,0.7%
394,NZD,GDT Price Index,Low Impact Expected,3.9%,,4.8%
395,GBP,MPC Member Haldane Speaks,Low Impact Expected,,,
396,NZD,NZIER Business Confidence,Low Impact Expected,-40,,-6
397,EUR,German Final CPI m/m,Low Impact Expected,0.5%,0.5%,0.5%
398,CHF,PPI m/m,Low Impact Expected,-0.1%,0.1%,0.5%
399,EUR,Current Account,Low Impact Expected,25.6B,28.2B,24.6B
400,EUR,Italian Trade Balance,Low Impact Expected,7.58B,6.23B,6.77B
401,EUR,ECOFIN Meetings,Low Impact Expected,,,
402,EUR,ZEW Economic Sentiment,Low Impact Expected,54.4,54.1,58.3
403,EUR,German ZEW Economic Sentiment,Low Impact Expected,55.0,55.1,61.8
404,CAD,Manufacturing Sales m/m,Low Impact Expected,0.2%,-0.2%,-0.6%
405,CAD,Wholesale Sales m/m,Low Impact Expected,1.3%,0.9%,0.7%
406,NZD,GDT Price Index,Low Impact Expected,3.9%,,4.8%
407,GBP,MPC Member Haldane Speaks,Low Impact Expected,,,
408,USD,TIC Long-Term Purchases,Low Impact Expected,51.9B,45.4B,149.2B
409,AUD,Westpac Consumer Sentiment,Low Impact Expected,4.1%,,-4.5%
410,CNY,Foreign Direct Investment ytd/y,Low Impact Expected,6.3%,,6.2%
411,CNY,1-y Loan Prime Rate,Medium Impact Expected,3.85%,3.85%,3.85%
412,CNY,5-y Loan Prime Rate,Medium Impact Expected,4.65%,4.65%,4.65%
413,EUR,German PPI m/m,Low Impact Expected,0.2%,0.3%,0.8%
414,GBP,Core CPI y/y,Low Impact Expected,1.1%,1.3%,1.4%
415,GBP,CPI y/y,Low Impact Expected,0.3%,0.5%,0.6%
416,GBP,PPI Input m/m,Low Impact Expected,0.4%,0.8%,0.8%
417,GBP,PPI Output m/m,Low Impact Expected,0.3%,0.2%,0.3%
418,GBP,RPI y/y,Low Impact Expected,0.9%,1.2%,1.2%
419,GBP,HPI y/y,Low Impact Expected,5.9%,5.5%,7.6%
420,EUR,Final Core CPI y/y,Low Impact Expected,0.2%,0.2%,0.2%
421,EUR,Final CPI y/y,Low Impact Expected,-0.3%,-0.3%,-0.3%
422,EUR,German 30-y Bond Auction,Low Impact Expected,-0.06|1.6,,-0.13|1.4
423,CAD,CPI m/m,Medium Impact Expected,0.1%,0.1%,-0.2%
424,CAD,Common CPI y/y,Low Impact Expected,1.5%,1.5%,1.3%
425,CAD,Median CPI y/y,Low Impact Expected,1.8%,1.9%,1.8%
426,CAD,Trimmed CPI y/y,Low Impact Expected,1.7%,1.7%,1.6%
427,CAD,Core CPI m/m,Low Impact Expected,0.2%,,-0.4%
428,CAD,BOC Monetary Policy Report,High Impact Expected,,,
429,CAD,BOC Rate Statement,High Impact Expected,,,
430,CAD,Overnight Rate,Medium Impact Expected,0.25%,0.25%,0.25%
431,USD,NAHB Housing Market Index,Low Impact Expected,86,86,83
432,AUD,CB Leading Index m/m,Low Impact Expected,0.9%,,0.8%
433,CAD,BOC Press Conference,High Impact Expected,,,
434,USD,President Biden Speaks,High Impact Expected,,,
435,GBP,BOE Gov Bailey Speaks,High Impact Expected,,,
436,USD,TIC Long-Term Purchases,Low Impact Expected,51.9B,45.4B,149.2B
437,AUD,Westpac Consumer Sentiment,Low Impact Expected,4.1%,,-4.5%
438,CNY,Foreign Direct Investment ytd/y,Low Impact Expected,6.3%,,6.2%
439,CNY,1-y Loan Prime Rate,Medium Impact Expected,3.85%,3.85%,3.85%
440,CNY,5-y Loan Prime Rate,Medium Impact Expected,4.65%,4.65%,4.65%
441,EUR,German PPI m/m,Low Impact Expected,0.2%,0.3%,0.8%
442,GBP,Core CPI y/y,Low Impact Expected,1.1%,1.3%,1.4%
443,GBP,CPI y/y,Low Impact Expected,0.3%,0.5%,0.6%
444,GBP,PPI Input m/m,Low Impact Expected,0.4%,0.8%,0.8%
445,GBP,PPI Output m/m,Low Impact Expected,0.3%,0.2%,0.3%
446,GBP,RPI y/y,Low Impact Expected,0.9%,1.2%,1.2%
447,GBP,HPI y/y,Low Impact Expected,5.9%,5.5%,7.6%
448,EUR,Final Core CPI y/y,Low Impact Expected,0.2%,0.2%,0.2%
449,EUR,Final CPI y/y,Low Impact Expected,-0.3%,-0.3%,-0.3%
450,EUR,German 30-y Bond Auction,Low Impact Expected,-0.06|1.6,,-0.13|1.4
451,CAD,CPI m/m,Medium Impact Expected,0.1%,0.1%,-0.2%
452,CAD,Common CPI y/y,Low Impact Expected,1.5%,1.5%,1.3%
453,CAD,Median CPI y/y,Low Impact Expected,1.8%,1.9%,1.8%
454,CAD,Trimmed CPI y/y,Low Impact Expected,1.7%,1.7%,1.6%
455,CAD,Core CPI m/m,Low Impact Expected,0.2%,,-0.4%
456,CAD,BOC Monetary Policy Report,High Impact Expected,,,
457,CAD,BOC Rate Statement,High Impact Expected,,,
458,CAD,Overnight Rate,Medium Impact Expected,0.25%,0.25%,0.25%
459,USD,NAHB Housing Market Index,Low Impact Expected,86,86,83
460,AUD,CB Leading Index m/m,Low Impact Expected,0.9%,,0.8%
461,CAD,BOC Press Conference,High Impact Expected,,,
462,USD,President Biden Speaks,High Impact Expected,,,
463,GBP,BOE Gov Bailey Speaks,High Impact Expected,,,
464,NZD,Visitor Arrivals m/m,Low Impact Expected,-8.1%,,0.8%
465,JPY,Trade Balance,Low Impact Expected,0.55T,0.70T,0.48T
466,AUD,MI Inflation Expectations,Low Impact Expected,3.5%,,3.4%
467,AUD,Employment Change,High Impact Expected,90.0K,50.0K,50.0K
468,AUD,Unemployment Rate,High Impact Expected,6.8%,6.7%,6.6%
469,JPY,BOJ Outlook Report,High Impact Expected,,,
470,JPY,Monetary Policy Statement,High Impact Expected,,,
471,JPY,BOJ Policy Rate,Low Impact Expected,-0.10%,-0.10%,-0.10%
472,JPY,BOJ Press Conference,Medium Impact Expected,,,
473,GBP,BOE Credit Conditions Survey,Low Impact Expected,,,
474,GBP,CBI Industrial Order Expectations,Low Impact Expected,-25,-35,-38
475,EUR,Monetary Policy Statement,High Impact Expected,,,
476,EUR,Main Refinancing Rate,Medium Impact Expected,0.00%,0.00%,0.00%
477,CAD,NHPI m/m,Low Impact Expected,0.6%,0.8%,0.3%
478,EUR,ECB Press Conference,High Impact Expected,,,
479,USD,Philly Fed Manufacturing Index,Medium Impact Expected,11.1,11.2,26.5
480,USD,Unemployment Claims,Medium Impact Expected,926K,930K,900K
481,USD,Building Permits,Low Impact Expected,1.64M,1.60M,1.71M
482,USD,Housing Starts,Low Impact Expected,1.58M,1.56M,1.67M
483,CAD,ADP Non-Farm Employment Change,Low Impact Expected,-219.8K,,-28.8K
484,EUR,Consumer Confidence,Low Impact Expected,-14,-15,-16
485,NZD,Visitor Arrivals m/m,Low Impact Expected,-8.1%,,0.8%
486,JPY,Trade Balance,Low Impact Expected,0.55T,0.70T,0.48T
487,AUD,MI Inflation Expectations,Low Impact Expected,3.5%,,3.4%
488,AUD,Employment Change,High Impact Expected,90.0K,50.0K,50.0K
489,AUD,Unemployment Rate,High Impact Expected,6.8%,6.7%,6.6%
490,JPY,BOJ Outlook Report,High Impact Expected,,,
491,JPY,Monetary Policy Statement,High Impact Expected,,,
492,JPY,BOJ Policy Rate,Low Impact Expected,-0.10%,-0.10%,-0.10%
493,JPY,BOJ Press Conference,Medium Impact Expected,,,
494,GBP,BOE Credit Conditions Survey,Low Impact Expected,,,
495,GBP,CBI Industrial Order Expectations,Low Impact Expected,-25,-35,-38
496,EUR,Monetary Policy Statement,High Impact Expected,,,
497,EUR,Main Refinancing Rate,Medium Impact Expected,0.00%,0.00%,0.00%
498,CAD,NHPI m/m,Low Impact Expected,0.6%,0.8%,0.3%
499,EUR,ECB Press Conference,High Impact Expected,,,
500,USD,Philly Fed Manufacturing Index,Medium Impact Expected,11.1,11.2,26.5
501,USD,Unemployment Claims,Medium Impact Expected,926K,930K,900K
502,USD,Building Permits,Low Impact Expected,1.64M,1.60M,1.71M
503,USD,Housing Starts,Low Impact Expected,1.58M,1.56M,1.67M
504,CAD,ADP Non-Farm Employment Change,Low Impact Expected,-219.8K,,-28.8K
505,EUR,Consumer Confidence,Low Impact Expected,-14,-15,-16
506,NZD,BusinessNZ Manufacturing Index,Low Impact Expected,54.7,,48.7
507,NZD,CPI q/q,High Impact Expected,0.7%,0.2%,0.5%
508,AUD,Flash Manufacturing PMI,Low Impact Expected,55.7,,57.2
509,AUD,Flash Services PMI,Low Impact Expected,57.0,,55.8
510,JPY,National Core CPI y/y,Low Impact Expected,-0.9%,-1.1%,-1.0%
511,GBP,GfK Consumer Confidence,Low Impact Expected,-26,-30,-28
512,AUD,Retail Sales m/m,Low Impact Expected,7.1%,-1.5%,-4.2%
513,JPY,Flash Manufacturing PMI,Low Impact Expected,50.0,50.1,49.7
514,GBP,Retail Sales m/m,Medium Impact Expected,-4.1%,1.4%,0.3%
515,GBP,Public Sector Net Borrowing,Low Impact Expected,25.4B,31.5B,33.4B
516,EUR,French Flash Services PMI,High Impact Expected,49.1,48.3,46.5
517,EUR,French Flash Manufacturing PMI,Medium Impact Expected,51.1,50.6,51.5
518,EUR,German Flash Manufacturing PMI,High Impact Expected,58.3,57.3,57.0
519,EUR,German Flash Services PMI,High Impact Expected,47.0,45.1,46.8
520,EUR,Flash Manufacturing PMI,Medium Impact Expected,55.2,54.5,54.7
521,EUR,Flash Services PMI,Medium Impact Expected,46.4,44.4,45.0
522,GBP,Flash Manufacturing PMI,Medium Impact Expected,57.5,53.5,52.9
523,GBP,Flash Services PMI,Medium Impact Expected,49.4,45.2,38.8
524,CAD,Core Retail Sales m/m,Medium Impact Expected,-0.2%,0.3%,2.1%
525,CAD,Retail Sales m/m,Medium Impact Expected,0.1%,0.0%,1.3%
526,USD,Flash Manufacturing PMI,Medium Impact Expected,57.1,56.6,59.1
527,USD,Flash Services PMI,Low Impact Expected,54.8,53.3,57.5
528,USD,Existing Home Sales,Low Impact Expected,6.71M,6.55M,6.76M
529,USD,Natural Gas Storage,Low Impact Expected,-134B,-162B,-187B
530,USD,Crude Oil Inventories,Low Impact Expected,-3.2M,-1.2M,4.4M
531,NZD,BusinessNZ Manufacturing Index,Low Impact Expected,54.7,,48.7
532,NZD,CPI q/q,High Impact Expected,0.7%,0.2%,0.5%
533,AUD,Flash Manufacturing PMI,Low Impact Expected,55.7,,57.2
534,AUD,Flash Services PMI,Low Impact Expected,57.0,,55.8
535,JPY,National Core CPI y/y,Low Impact Expected,-0.9%,-1.1%,-1.0%
536,GBP,GfK Consumer Confidence,Low Impact Expected,-26,-30,-28
537,AUD,Retail Sales m/m,Low Impact Expected,7.1%,-1.5%,-4.2%
538,JPY,Flash Manufacturing PMI,Low Impact Expected,50.0,50.1,49.7
539,GBP,Retail Sales m/m,Medium Impact Expected,-4.1%,1.4%,0.3%
540,GBP,Public Sector Net Borrowing,Low Impact Expected,25.4B,31.5B,33.4B
541,EUR,French Flash Services PMI,High Impact Expected,49.1,48.3,46.5
542,EUR,French Flash Manufacturing PMI,Medium Impact Expected,51.1,50.6,51.5
543,EUR,German Flash Manufacturing PMI,High Impact Expected,58.3,57.3,57.0
544,EUR,German Flash Services PMI,High Impact Expected,47.0,45.1,46.8
545,EUR,Flash Manufacturing PMI,Medium Impact Expected,55.2,54.5,54.7
546,EUR,Flash Services PMI,Medium Impact Expected,46.4,44.4,45.0
547,GBP,Flash Manufacturing PMI,Medium Impact Expected,57.5,53.5,52.9
548,GBP,Flash Services PMI,Medium Impact Expected,49.4,45.2,38.8
549,CAD,Core Retail Sales m/m,Medium Impact Expected,-0.2%,0.3%,2.1%
550,CAD,Retail Sales m/m,Medium Impact Expected,0.1%,0.0%,1.3%
551,USD,Flash Manufacturing PMI,Medium Impact Expected,57.1,56.6,59.1
552,USD,Flash Services PMI,Low Impact Expected,54.8,53.3,57.5
553,USD,Existing Home Sales,Low Impact Expected,6.71M,6.55M,6.76M
554,USD,Natural Gas Storage,Low Impact Expected,-134B,-162B,-187B
555,USD,Crude Oil Inventories,Low Impact Expected,-3.2M,-1.2M,4.4M
556,AUD,Goods Trade Balance,Low Impact Expected,1.53B,,8.96B
557,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
558,EUR,German ifo Business Climate,Low Impact Expected,92.2,91.5,90.1
559,CNY,CB Leading Index m/m,Low Impact Expected,1.1%,,1.2%
560,EUR,Belgian NBB Business Climate,Low Impact Expected,-8.4,-8.0,-7.5
561,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
562,AUD,Goods Trade Balance,Low Impact Expected,1.53B,,8.96B
563,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
564,EUR,German ifo Business Climate,Low Impact Expected,92.2,91.5,90.1
565,CNY,CB Leading Index m/m,Low Impact Expected,1.1%,,1.2%
566,EUR,Belgian NBB Business Climate,Low Impact Expected,-8.4,-8.0,-7.5
567,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
568,AUD,Bank Holiday,Non-Economic,,,
569,NZD,BusinessNZ Services Index,Low Impact Expected,46.7,,49.2
570,JPY,Monetary Policy Meeting Minutes,Low Impact Expected,,,
571,JPY,SPPI y/y,Low Impact Expected,-0.5%,-0.6%,-0.4%
572,JPY,BOJ Core CPI y/y,Low Impact Expected,-0.1%,-0.1%,-0.3%
573,GBP,Average Earnings Index 3m/y,Low Impact Expected,2.8%,2.9%,3.6%
574,GBP,Claimant Count Change,Low Impact Expected,38.1K,47.5K,7.0K
575,GBP,Unemployment Rate,Low Impact Expected,4.9%,5.1%,5.0%
576,GBP,CBI Realized Sales,Low Impact Expected,-3,-32,-50
577,GBP,30-y Bond Auction,Low Impact Expected,0.84|2.6,,0.84|2.4
578,USD,HPI m/m,Low Impact Expected,1.5%,0.9%,1.0%
579,USD,S&P/CS Composite-20 HPI y/y,Low Impact Expected,8.0%,8.8%,9.1%
580,USD,Richmond Manufacturing Index,Low Impact Expected,19,18,14
581,USD,CB Consumer Confidence,Medium Impact Expected,87.1,88.9,89.3
582,AUD,Bank Holiday,Non-Economic,,,
583,NZD,BusinessNZ Services Index,Low Impact Expected,46.7,,49.2
584,JPY,Monetary Policy Meeting Minutes,Low Impact Expected,,,
585,JPY,SPPI y/y,Low Impact Expected,-0.5%,-0.6%,-0.4%
586,JPY,BOJ Core CPI y/y,Low Impact Expected,-0.1%,-0.1%,-0.3%
587,GBP,Average Earnings Index 3m/y,Low Impact Expected,2.8%,2.9%,3.6%
588,GBP,Claimant Count Change,Low Impact Expected,38.1K,47.5K,7.0K
589,GBP,Unemployment Rate,Low Impact Expected,4.9%,5.1%,5.0%
590,GBP,CBI Realized Sales,Low Impact Expected,-3,-32,-50
591,GBP,30-y Bond Auction,Low Impact Expected,0.84|2.6,,0.84|2.4
592,USD,HPI m/m,Low Impact Expected,1.5%,0.9%,1.0%
593,USD,S&P/CS Composite-20 HPI y/y,Low Impact Expected,8.0%,8.8%,9.1%
594,USD,Richmond Manufacturing Index,Low Impact Expected,19,18,14
595,USD,CB Consumer Confidence,Medium Impact Expected,87.1,88.9,89.3
596,AUD,MI Leading Index m/m,Low Impact Expected,0.7%,,0.1%
597,GBP,BRC Shop Price Index y/y,Low Impact Expected,-1.8%,,-2.2%
598,AUD,CPI q/q,High Impact Expected,1.6%,0.7%,0.9%
599,AUD,Trimmed Mean CPI q/q,High Impact Expected,0.3%,0.4%,0.4%
600,AUD,NAB Business Confidence,Low Impact Expected,13,,4
601,EUR,German GfK Consumer Climate,Low Impact Expected,-7.5,-7.8,-15.6
602,CHF,Credit Suisse Economic Expectations,Low Impact Expected,46.8,,43.2
603,EUR,German 10-y Bond Auction,Low Impact Expected,-0.52|1.6,,-0.54|2.0
604,USD,Core Durable Goods Orders m/m,Low Impact Expected,0.4%,0.5%,0.7%
605,USD,Durable Goods Orders m/m,Low Impact Expected,1.0%,1.0%,0.2%
606,USD,Crude Oil Inventories,Low Impact Expected,4.4M,1.6M,-9.9M
607,USD,FOMC Statement,High Impact Expected,,,
608,USD,Federal Funds Rate,Medium Impact Expected,<0.25%,<0.25%,<0.25%
609,USD,FOMC Press Conference,High Impact Expected,,,
610,AUD,MI Leading Index m/m,Low Impact Expected,0.7%,,0.1%
611,GBP,BRC Shop Price Index y/y,Low Impact Expected,-1.8%,,-2.2%
612,AUD,CPI q/q,High Impact Expected,1.6%,0.7%,0.9%
613,AUD,Trimmed Mean CPI q/q,High Impact Expected,0.3%,0.4%,0.4%
614,AUD,NAB Business Confidence,Low Impact Expected,13,,4
615,EUR,German GfK Consumer Climate,Low Impact Expected,-7.5,-7.8,-15.6
616,CHF,Credit Suisse Economic Expectations,Low Impact Expected,46.8,,43.2
617,EUR,German 10-y Bond Auction,Low Impact Expected,-0.52|1.6,,-0.54|2.0
618,USD,Core Durable Goods Orders m/m,Low Impact Expected,0.4%,0.5%,0.7%
619,USD,Durable Goods Orders m/m,Low Impact Expected,1.0%,1.0%,0.2%
620,USD,Crude Oil Inventories,Low Impact Expected,4.4M,1.6M,-9.9M
621,USD,FOMC Statement,High Impact Expected,,,
622,USD,Federal Funds Rate,Medium Impact Expected,<0.25%,<0.25%,<0.25%
623,USD,FOMC Press Conference,High Impact Expected,,,
624,NZD,Trade Balance,Low Impact Expected,290M,800M,17M
625,JPY,Retail Sales y/y,Low Impact Expected,0.6%,-0.4%,-0.3%
626,AUD,Import Prices q/q,Low Impact Expected,-3.5%,-0.9%,-1.0%
627,CHF,Trade Balance,Low Impact Expected,4.48B,4.23B,2.88B
628,EUR,German Prelim CPI m/m,Low Impact Expected,0.5%,0.4%,0.8%
629,EUR,Spanish Unemployment Rate,Low Impact Expected,16.3%,16.7%,16.1%
630,EUR,Italian 10-y Bond Auction,Low Impact Expected,0.59|1.6,,0.65|1.4
631,CAD,Building Permits m/m,Low Impact Expected,12.5%,-4.9%,-4.1%
632,USD,Advance GDP q/q,High Impact Expected,33.4%,4.2%,4.0%
633,USD,Unemployment Claims,Medium Impact Expected,914K,880K,847K
634,USD,Goods Trade Balance,Low Impact Expected,-85.5B,-83.4B,-82.5B
635,USD,Prelim Wholesale Inventories m/m,Low Impact Expected,0.0%,0.5%,0.1%
636,USD,Advance GDP Price Index q/q,Medium Impact Expected,3.5%,2.2%,2.0%
637,USD,CB Leading Index m/m,Medium Impact Expected,0.7%,0.3%,0.3%
638,USD,New Home Sales,Low Impact Expected,829K,860K,842K
639,USD,Natural Gas Storage,Low Impact Expected,-187B,-140B,-128B
640,NZD,Trade Balance,Low Impact Expected,290M,800M,17M
641,JPY,Retail Sales y/y,Low Impact Expected,0.6%,-0.4%,-0.3%
642,AUD,Import Prices q/q,Low Impact Expected,-3.5%,-0.9%,-1.0%
643,CHF,Trade Balance,Low Impact Expected,4.48B,4.23B,2.88B
644,EUR,German Prelim CPI m/m,Low Impact Expected,0.5%,0.4%,0.8%
645,EUR,Spanish Unemployment Rate,Low Impact Expected,16.3%,16.7%,16.1%
646,EUR,Italian 10-y Bond Auction,Low Impact Expected,0.59|1.6,,0.65|1.4
647,CAD,Building Permits m/m,Low Impact Expected,12.5%,-4.9%,-4.1%
648,USD,Advance GDP q/q,High Impact Expected,33.4%,4.2%,4.0%
649,USD,Unemployment Claims,Medium Impact Expected,914K,880K,847K
650,USD,Goods Trade Balance,Low Impact Expected,-85.5B,-83.4B,-82.5B
651,USD,Prelim Wholesale Inventories m/m,Low Impact Expected,0.0%,0.5%,0.1%
652,USD,Advance GDP Price Index q/q,Medium Impact Expected,3.5%,2.2%,2.0%
653,USD,CB Leading Index m/m,Medium Impact Expected,0.7%,0.3%,0.3%
654,USD,New Home Sales,Low Impact Expected,829K,860K,842K
655,USD,Natural Gas Storage,Low Impact Expected,-187B,-140B,-128B
656,JPY,Tokyo Core CPI y/y,Low Impact Expected,-0.9%,-0.6%,-0.4%
657,JPY,Unemployment Rate,Low Impact Expected,2.9%,3.0%,2.9%
658,JPY,BOJ Summary of Opinions,Low Impact Expected,,,
659,JPY,Prelim Industrial Production m/m,Low Impact Expected,-0.5%,-1.4%,-1.6%
660,AUD,PPI q/q,Low Impact Expected,0.4%,0.4%,0.5%
661,AUD,Private Sector Credit m/m,Low Impact Expected,0.1%,0.2%,0.3%
662,JPY,Housing Starts y/y,Low Impact Expected,-3.7%,-3.8%,-9.0%
663,JPY,Consumer Confidence,Low Impact Expected,31.8,29.1,29.6
664,EUR,French Consumer Spending m/m,Low Impact Expected,-18.0%,24.0%,23.0%
665,EUR,French Flash GDP q/q,Low Impact Expected,18.7%,-4.0%,-1.3%
666,EUR,German Import Prices m/m,Low Impact Expected,0.5%,1.0%,0.6%
667,CHF,KOF Economic Barometer,Medium Impact Expected,104.1,102.2,96.5
668,EUR,Spanish Flash CPI y/y,Low Impact Expected,-0.5%,-0.5%,0.6%
669,EUR,Spanish Flash GDP q/q,Low Impact Expected,16.4%,-1.4%,0.4%
670,EUR,German Unemployment Change,Low Impact Expected,-40K,7K,-41K
671,EUR,German Prelim GDP q/q,Medium Impact Expected,8.5%,0.0%,0.1%
672,EUR,M3 Money Supply y/y,Low Impact Expected,11.0%,11.0%,12.3%
673,EUR,Private Loans y/y,Low Impact Expected,3.1%,3.2%,3.1%
674,CAD,GDP m/m,Medium Impact Expected,0.4%,0.4%,0.7%
675,CAD,IPPI m/m,Low Impact Expected,-0.6%,1.4%,1.5%
676,CAD,RMPI m/m,Low Impact Expected,0.6%,2.5%,3.5%
677,USD,Core PCE Price Index m/m,Low Impact Expected,0.0%,0.1%,0.3%
678,USD,Employment Cost Index q/q,Low Impact Expected,0.5%,0.5%,0.7%
679,USD,Personal Income m/m,Low Impact Expected,-1.3%,0.1%,0.6%
680,USD,Personal Spending m/m,Low Impact Expected,-0.7%,-0.4%,-0.2%
681,USD,Chicago PMI,Low Impact Expected,59.5,58.4,63.8
682,USD,Pending Home Sales m/m,Low Impact Expected,-2.5%,-0.5%,-0.3%
683,USD,Revised UoM Consumer Sentiment,Low Impact Expected,79.2,79.2,79.0
684,USD,Revised UoM Inflation Expectations,Low Impact Expected,3.0%,,3.0%
685,JPY,Tokyo Core CPI y/y,Low Impact Expected,-0.9%,-0.6%,-0.4%
686,JPY,Unemployment Rate,Low Impact Expected,2.9%,3.0%,2.9%
687,JPY,BOJ Summary of Opinions,Low Impact Expected,,,
688,JPY,Prelim Industrial Production m/m,Low Impact Expected,-0.5%,-1.4%,-1.6%
689,AUD,PPI q/q,Low Impact Expected,0.4%,0.4%,0.5%
690,AUD,Private Sector Credit m/m,Low Impact Expected,0.1%,0.2%,0.3%
691,JPY,Housing Starts y/y,Low Impact Expected,-3.7%,-3.8%,-9.0%
692,JPY,Consumer Confidence,Low Impact Expected,31.8,29.1,29.6
693,EUR,French Consumer Spending m/m,Low Impact Expected,-18.0%,24.0%,23.0%
694,EUR,French Flash GDP q/q,Low Impact Expected,18.7%,-4.0%,-1.3%
695,EUR,German Import Prices m/m,Low Impact Expected,0.5%,1.0%,0.6%
696,CHF,KOF Economic Barometer,Medium Impact Expected,104.1,102.2,96.5
697,EUR,Spanish Flash CPI y/y,Low Impact Expected,-0.5%,-0.5%,0.6%
698,EUR,Spanish Flash GDP q/q,Low Impact Expected,16.4%,-1.4%,0.4%
699,EUR,German Unemployment Change,Low Impact Expected,-40K,7K,-41K
700,EUR,German Prelim GDP q/q,Medium Impact Expected,8.5%,0.0%,0.1%
701,EUR,M3 Money Supply y/y,Low Impact Expected,11.0%,11.0%,12.3%
702,EUR,Private Loans y/y,Low Impact Expected,3.1%,3.2%,3.1%
703,CAD,GDP m/m,Medium Impact Expected,0.4%,0.4%,0.7%
704,CAD,IPPI m/m,Low Impact Expected,-0.6%,1.4%,1.5%
705,CAD,RMPI m/m,Low Impact Expected,0.6%,2.5%,3.5%
706,USD,Core PCE Price Index m/m,Low Impact Expected,0.0%,0.1%,0.3%
707,USD,Employment Cost Index q/q,Low Impact Expected,0.5%,0.5%,0.7%
708,USD,Personal Income m/m,Low Impact Expected,-1.3%,0.1%,0.6%
709,USD,Personal Spending m/m,Low Impact Expected,-0.7%,-0.4%,-0.2%
710,USD,Chicago PMI,Low Impact Expected,59.5,58.4,63.8
711,USD,Pending Home Sales m/m,Low Impact Expected,-2.5%,-0.5%,-0.3%
712,USD,Revised UoM Consumer Sentiment,Low Impact Expected,79.2,79.2,79.0
